Rank,Name,Country,Sector,Absolute Growth Rate,Compound Annual Growth Rate,Revenue 2017,Employees 2017,Founded,Revenue 2018,Revenue 2015,Employees 2018,Revenue 2019,Revenue 2016,Employees 2019,Employees 2016,Revenue 2020,Employees 2020,Revenue 2021,Employees 2021,Revenue 2022,Employees 2022,Year
41,Pocket Living,United Kingdom,Property,"2,035%",177.4%,54.4,34,2002,,,,,,,,,,,,,,2019
42,Laser Wire Solutions,United Kingdom,Technology,"1,944%",173.4%,6.0,26,2011,,,,,,,,,,,,,,2019
43,Unify Communications,United Kingdom,Telecoms,"1,915%",172.1%,5.1,15,2012,,,,,,,,,,,,,,2019
44,Shokes,Germany,Ecommerce,"1,770%",165.4%,7.2,7,2009,,,,,,,,,,,,,,2019
45,Vmway,Italy,Technology,"1,748%",164.4%,3.4,26,2012,,,,,,,,,,,,,,2019
46,Nexia Infraestructuras*,Spain,Construction,"1,715%",162.8%,5.3,44,2014,,,,,,,,,,,,,,2019
47,Innova Profesional Desarrollos*,Spain,Construction,"1,712%",162.7%,3.0,9,2014,,,,,,,,,,,,,,2019
48,Plastrading,Italy,Chemicals,"1,710%",162.6%,2.9,4,2014,,,,,,,,,,,,,,2019
49,Bauer Holzbausysteme,Germany,Industrial Goods,"1,679%",161.1%,13.7,52,2004,,,,,,,,,,,,,,2019
50,Gaia,Italy,Food & Beverage,"1,666%",160.4%,2.1,12,2013,,,,,,,,,,,,,,2019
51,SendCloud,Netherlands,Ecommerce,"1,666%",160.4%,21.1,50,2012,,,,,,,,,,,,,,2019
52,Campanda,Germany,Ecommerce,"1,635%",158.9%,2.8,65,2013,,,,,,,,,,,,,,2019
53,Velotransport,Italy,Transport,"1,635%",158.9%,1.8,40,2014,,,,,,,,,,,,,,2019
54,Soorce,Germany,Support Services,"1,567%",155.4%,3.0,14,2004,,,,,,,,,,,,,,2019
55,Manolete Partners,United Kingdom,Financial Services,"1,561%",155.2%,12.5,7,2011,,,,,,,,,,,,,,2019
56,Accolade Holding,Czech Republic,Property,"1,555%",154.9%,29.8,350,2010,,,,,,,,,,,,,,2019
57,Ideas and Action,United Kingdom,Sales & Marketing,"1,554%",154.8%,2.0,6,2014,,,,,,,,,,,,,,2019
58,Meitis,France,Support Services,"1,546%",154.4%,3.4,38,2013,,,,,,,,,,,,,,2019
59,Greenstorm Mobility,Austria,Ecommerce,"1,543%",154.2%,10.9,60,2014,,,,,,,,,,,,,,2019
60,Rebecca,Italy,Ecommerce,"1,542%",154.2%,3.9,10,2014,,,,,,,,,,,,,,2019
61,AlterBoutique,France,Retail,"1,536%",153.9%,2.1,8,2011,,,,,,,,,,,,,,2019
62,Target Circle,Norway,Technology,"1,508%",152.4%,6.8,6,2014,,,,,,,,,,,,,,2019
63,Allocab,France,Transport,"1,504%",152.2%,6.9,27,2011,,,,,,,,,,,,,,2019
64,Maisons Fidéa,France,Construction,"1,452%",149.5%,3.7,8,2005,,,,,,,,,,,,,,2019
65,Lamia,Finland,Technology,"1,443%",149.0%,4.2,42,2012,,,,,,,,,,,,,,2019
66,Missoma,United Kingdom,Ecommerce,"1,430%",148.3%,7.0,10,2011,,,,,,,,,,,,,,2019
67,Transmission,United Kingdom,Advertising,"1,397%",146.4%,12.5,56,2013,,,,,,,,,,,,,,2019
68,Löwentank*,Germany,Support Services,"1,394%",146.3%,7.1,80,2014,,,,,,,,,,,,,,2019
69,Eco CO2,France,Support Services,"1,380%",145.5%,2.0,24,2009,,,,,,,,,,,,,,2019
70,In Touch Networks,United Kingdom,Ecommerce,"1,364%",144.7%,4.0,121,2013,,,,,,,,,,,,,,2019
71,Da.Dif. Consulting,Italy,Support Services,"1,361%",144.4%,1.8,6,2003,,,,,,,,,,,,,,2019
72,Radarservices,Austria,Cyber Security,"1,359%",144.3%,6.3,88,2011,,,,,,,,,,,,,,2019
73,ENPIRE,Poland,Transport,"1,331%",142.8%,12.7,143,2011,,,,,,,,,,,,,,2019
74,Tetra Consulting & Engineering,Spain,Management Consulting,"1,303%",141.2%,2.3,38,2010,,,,,,,,,,,,,,2019
75,Salelifter,Poland,Advertising,"1,300%",141.0%,2.4,16,2013,,,,,,,,,,,,,,2019
76,reiskundig.nl,Netherlands,Travel & Leisure,"1,296%",140.8%,3.0,4,2013,,,,,,,,,,,,,,2019
77,Personalhaus Bielefeld,Germany,Support Services,"1,295%",140.7%,19.1,1100,2014,,,,,,,,,,,,,,2019
78,Winnow Holdings,United Kingdom,Technology,"1,293%",140.6%,2.8,60,2013,,,,,,,,,,,,,,2019
79,Merkkur*,Germany,Ecommerce,"1,287%",140.3%,6.2,4,2014,,,,,,,,,,,,,,2019
80,Festicket,United Kingdom,Travel & Leisure,"1,280%",139.9%,42.0,90,2012,,,,,,,,,,,,,,2019
81,Nurole,United Kingdom,Technology,"1,277%",139.7%,1.5,15,2014,,,,,,,,,,,,,,2019
82,Cooperativa Sociale Integra,Italy,Support Services,"1,241%",137.6%,2.6,36,2014,,,,,,,,,,,,,,2019
83,YouLoveWords,France,Media,"1,233%",137.1%,1.6,12,2009,,,,,,,,,,,,,,2019
84,ID Finance Investments,Spain,Fintech,"1,227%",136.8%,87.0,534,2012,,,,,,,,,,,,,,2019
85,Chevalier Technologies,United Kingdom,Automobiles,"1,224%",136.6%,10.3,20,2008,,,,,,,,,,,,,,2019
86,Königskinder Immobilien,Germany,Property,"1,224%",136.5%,4.5,20,2008,,,,,,,,,,,,,,2019
87,Ideria,France,Restaurants,"1,202%",135.2%,2.9,9,2013,,,,,,,,,,,,,,2019
88,Hellofresh,Germany,Ecommerce,"1,200%",135.1%,904.9,4000,2011,,,,,,,,,,,,,,2019
89,City Shop West Kiosk,Germany,Retail,"1,199%",135.1%,3.4,14,2012,,,,,,,,,,,,,,2019
90,Ds Glass,Italy,Retail,"1,188%",134.4%,5.4,3,2013,,,,,,,,,,,,,,2019
91,DCMN,Germany,Advertising,"1,187%",134.3%,57.0,153,2010,,,,,,,,,,,,,,2019
92,Velocity Outlet,United Kingdom,Retail,"1,187%",134.3%,15.6,22,2012,,,,,,,,,,,,,,2019
93,Cuadros Eléctricos JM*,Spain,Construction,"1,183%",134.1%,3.4,70,2014,,,,,,,,,,,,,,2019
94,VIRTUS,United Kingdom,Technology,"1,183%",134.1%,43.4,45,2008,,,,,,,,,,,,,,2019
95,Hair Gallery Store,Italy,Ecommerce,"1,181%",134.0%,9.4,3,2014,,,,,,,,,,,,,,2019
96,Icon Outsourcing*,Spain,Pharmaceuticals,"1,165%",133.0%,6.0,101,2014,,,,,,,,,,,,,,2019
97,Hensing,Germany,Industrial Goods,"1,164%",133.0%,3.9,21,2014,,,,,,,,,,,,,,2019
98,Naïo Technologies,France,Industrial Goods,"1,156%",132.5%,1.5,26,2011,,,,,,,,,,,,,,2019
99,Doctor Hail (Dottor Grandine),Italy,Support Services,"1,145%",131.7%,6.2,43,2013,,,,,,,,,,,,,,2019
100,Xt Insulation,Italy,Industrial Goods,"1,134%",131.1%,6.6,8,2014,,,,,,,,,,,,,,2019
101,Lapelle,Italy,Industrial Goods,"1,132%",131.0%,15.3,4,2006,,,,,,,,,,,,,,2019
102,Plimsoll Productions,United Kingdom,Media,"1,119%",130.1%,14.7,51,2013,,,,,,,,,,,,,,2019
103,ImmoBauConsult,Germany,Construction,"1,111%",129.7%,9.7,30,1991,,,,,,,,,,,,,,2019
104,Custom Group,Netherlands,Ecommerce,"1,090%",128.3%,3.4,17,2012,,,,,,,,,,,,,,2019
105,Home Design Virtual Shops,Spain,Ecommerce,"1,080%",127.6%,2.5,20,2012,,,,,,,,,,,,,,2019
106,Testa E Plebani,Italy,Industrial Goods,"1,078%",127.5%,1.8,12,2014,,,,,,,,,,,,,,2019
107,Guts & Gusto,Netherlands,Fashion,"1,078%",127.5%,4.8,71,2007,,,,,,,,,,,,,,2019
108,Globalinternet,Netherlands,Telecoms,"1,068%",126.9%,25.7,72,2012,,,,,,,,,,,,,,2019
109,Metalfer Di Pio Mario*,Italy,Industrial Goods,"1,052%",125.9%,3.0,5,2014,,,,,,,,,,,,,,2019
110,VIVALDA,United Kingdom,Construction,"1,046%",125.5%,36.3,90,2012,,,,,,,,,,,,,,2019
111,Italfrutta Distribuzioni*,Italy,Food & Beverage,"1,045%",125.4%,5.9,13,2014,,,,,,,,,,,,,,2019
112,Accesa IT Systems,Romania,Technology,"1,044%",125.3%,15.4,500,2004,,,,,,,,,,,,,,2019
113,LendInvest,United Kingdom,Fintech,"1,042%",125.2%,41.8,127,2008,,,,,,,,,,,,,,2019
114,Lemon Way,France,Fintech,"1,037%",124.9%,10.9,75,2007,,,,,,,,,,,,,,2019
115,Traventia (Youbid),Spain,Travel & Leisure,"1,026%",124.1%,13.7,22,2013,,,,,,,,,,,,,,2019
116,MEP Werke,Germany,Energy,"1,022%",123.9%,40.1,61,2011,,,,,,,,,,,,,,2019
117,GpasPlus,France,Retail,"1,020%",123.7%,2.4,8,2012,,,,,,,,,,,,,,2019
118,ECS,Germany,Support Services,"1,016%",123.4%,12.9,140,2013,,,,,,,,,,,,,,2019
119,Wertbau Nord,Germany,Construction,"1,013%",123.3%,2.9,13,2014,,,,,,,,,,,,,,2019
120,Gute Marken Online,Germany,Ecommerce,"1,011%",123.2%,11.1,5,2011,,,,,,,,,,,,,,2019
121,Bambridge Accountants,United Kingdom,Financial Services,999%,122.3%,1.8,12,2010,,,,,,,,,,,,,,2019
122,Logimi,Italy,Transport,998%,122.3%,2.3,4,2013,,,,,,,,,,,,,,2019
123,Uniplaces,United Kingdom,Property,990%,121.7%,3.4,150,2013,,,,,,,,,,,,,,2019
124,Mediterranean Food Solutions,France,Food & Beverage,981%,121.1%,3.2,4,2012,,,,,,,,,,,,,,2019
125,Superprof,France,Education,974%,120.7%,3.3,49,2013,,,,,,,,,,,,,,2019
126,Oxwork,France,Retail,972%,120.5%,1.9,10,2014,,,,,,,,,,,,,,2019
127,Nova Facility,Italy,Support Services,971%,120.4%,7.7,102,2002,,,,,,,,,,,,,,2019
128,GoodBarber,France,Technology,970%,120.3%,3.5,45,2009,,,,,,,,,,,,,,2019
129,Fb.M. S.r.l.,Italy,Support Services,963%,119.9%,5.3,70,2012,,,,,,,,,,,,,,2019
130,CCL Fruit y Vegetales*,Spain,Transport,961%,119.8%,4.2,3,2014,,,,,,,,,,,,,,2019
131,Upgrade,Italy,Advertising,955%,119.3%,2.3,3,2014,,,,,,,,,,,,,,2019
132,Tecnoprogetti,Italy,Construction,953%,119.2%,6.0,15,2001,,,,,,,,,,,,,,2019
133,IMASD Energías,Spain,Construction,951%,119.0%,12.6,36,2008,,,,,,,,,,,,,,2019
134,Machines Broker,Italy,Retail,950%,119.0%,1.6,3,2013,,,,,,,,,,,,,,2019
135,Smarkets,United Kingdom,Fintech,948%,118.8%,24.2,104,2008,,,,,,,,,,,,,,2019
136,ClickLearn,Denmark,Technology,936%,118.0%,2.1,16,2010,,,,,,,,,,,,,,2019
137,Progetto Olimpo,Italy,Retail,927%,117.4%,9.1,50,2014,,,,,,,,,,,,,,2019
138,Web Stars Channel,Italy,Advertising,923%,117.1%,3.7,20,2013,,,,,,,,,,,,,,2019
139,Fancystage Unipessoal,Portugal,Beauty,917%,116.6%,3.3,31,2012,,,,,,,,,,,,,,2019
140,Laudaco,Slovakia,Interiors,912%,116.3%,2.5,6,2012,,,,,,,,,,,,,,2019
141,Vetrocar & Bus,Italy,Automobiles,910%,116.2%,18.8,60,2008,,,,,,,,,,,,,,2019
142,Movetia Digital,Spain,Fintech,909%,116.1%,4.9,90,2011,,,,,,,,,,,,,,2019
143,Synapsy*,Italy,Advertising,891%,114.8%,5.8,6,2014,,,,,,,,,,,,,,2019
144,GPS GmbH,Germany,Industrial Goods,888%,114.6%,4.2,32,2014,,,,,,,,,,,,,,2019
145,Canadian School Of Milan,Italy,Education,884%,114.3%,2.4,17,2004,,,,,,,,,,,,,,2019
146,Treesystem,Italy,Energy,883%,114.2%,3.1,9,2010,,,,,,,,,,,,,,2019
147,GT Company,France,Technology,879%,113.9%,1.9,2,2013,,,,,,,,,,,,,,2019
148,Osiway,France,Technology,871%,113.3%,2.4,3,2014,,,,,,,,,,,,,,2019
149,Mint Tower Capital Management,Netherlands,Financial Services,860%,112.5%,6.7,25,2010,,,,,,,,,,,,,,2019
150,Kiara Bijoux,Italy,Precious Metals,849%,111.7%,6.3,4,2012,,,,,,,,,,,,,,2019
151,Syntelix Avances Tecnológicos,Spain,Telecoms,845%,111.4%,1.6,8,2014,,,,,,,,,,,,,,2019
152,ISO Recruiting Consultants,Germany,Support Services,845%,111.4%,7.8,14,2013,,,,,,,,,,,,,,2019
153,Roberto Demeglio,Italy,Retail,828%,110.2%,8.0,28,2014,,,,,,,,,,,,,,2019
154,AM-Lagertechnik,Germany,Industrial Goods,821%,109.6%,27.3,15,2011,,,,,,,,,,,,,,2019
155,Elettro TLC,Italy,Telecoms,820%,109.5%,9.2,45,2014,,,,,,,,,,,,,,2019
156,iwoca,United Kingdom,Fintech,817%,109.3%,29.4,224,2011,,,,,,,,,,,,,,2019
157,Motius,Germany,Support Services,814%,109.1%,2.1,42,2013,,,,,,,,,,,,,,2019
158,Geodem-Ambiente,Italy,Construction,804%,108.3%,9.1,38,2012,,,,,,,,,,,,,,2019
159,JAM,Netherlands,Support Services,803%,108.2%,2.8,9,2012,,,,,,,,,,,,,,2019
160,Over The Lux,Italy,Travel & Leisure,799%,108.0%,3.3,5,2010,,,,,,,,,,,,,,2019
161,Storytel,Sweden,Media,794%,107.6%,122.2,309,2005,,,,,,,,,,,,,,2019
162,LG Surgelati,Italy,Food & Beverage,786%,106.9%,3.8,10,2013,,,,,,,,,,,,,,2019
163,Easypharm,Italy,Pharmaceuticals,786%,106.9%,1.6,13,2012,,,,,,,,,,,,,,2019
164,Scribbr,Netherlands,Education,785%,106.9%,3.4,22,2012,,,,,,,,,,,,,,2019
165,Recambios Endado,Spain,Ecommerce,783%,106.7%,1.8,19,2012,,,,,,,,,,,,,,2019
166,Farmacosmo,Italy,Ecommerce,778%,106.3%,14.3,25,2012,,,,,,,,,,,,,,2019
167,Stiltz Lifts,United Kingdom,Health,778%,106.3%,14.6,135,2010,,,,,,,,,,,,,,2019
168,Pipedrive,Estonia,Technology,775%,106.1%,33.3,300,2010,,,,,,,,,,,,,,2019
169,Le Slip Français,France,Fashion,773%,105.9%,13.1,52,2011,,,,,,,,,,,,,,2019
170,Ares,France,Support Services,773%,105.9%,4.9,22,2012,,,,,,,,,,,,,,2019
171,STRV,Czech Republic,Technology,770%,105.6%,5.6,135,2009,,,,,,,,,,,,,,2019
172,Neuwagen24.de,Germany,Automobiles,765%,105.3%,18.3,7,2011,,,,,,,,,,,,,,2019
173,Brausturm Bierverlag,Germany,Food & Beverage,762%,105.0%,1.9,8,2014,,,,,,,,,,,,,,2019
174,Trencadis,Romania,Technology,760%,104.9%,6.4,40,2007,,,,,,,,,,,,,,2019
175,SFAM Group,France,Insurance,757%,104.7%,240.0,1300,1999,,,,,,,,,,,,,,2019
176,Alkemilla Eco Bio Cosmetic,Italy,Ecommerce,753%,104.3%,2.0,9,2013,,,,,,,,,,,,,,2019
177,Bufete Navarro Asociados Laboral,Spain,Law,753%,104.3%,3.4,37,2006,,,,,,,,,,,,,,2019
178,Groupe Cochez,France,Transport,749%,104.0%,21.5,150,2008,,,,,,,,,,,,,,2019
179,For Dealer,Italy,Automobiles,744%,103.6%,1.9,7,2014,,,,,,,,,,,,,,2019
180,Supermetrics,Finland,Advertising,743%,103.5%,2.2,16,2013,,,,,,,,,,,,,,2019
181,Your Personal,Italy,Transport,742%,103.4%,1.6,10,2011,,,,,,,,,,,,,,2019
182,AMM Italy,Italy,Aerospace & Defence,741%,103.4%,5.2,6,2011,,,,,,,,,,,,,,2019
183,InnovaMaxx,Germany,Sales & Marketing,741%,103.4%,16.4,110,2012,,,,,,,,,,,,,,2019
184,C.D.V.,Italy,Health,738%,103.1%,1.7,10,2013,,,,,,,,,,,,,,2019
185,T.I.P. S.r.l.,Italy,Energy,727%,102.2%,16.7,3,2011,,,,,,,,,,,,,,2019
186,Readly International,Sweden,Media,723%,101.9%,13.2,31,2012,,,,,,,,,,,,,,2019
187,RTB House,Poland,Technology,721%,101.7%,43.6,271,2013,,,,,,,,,,,,,,2019
188,Five Motors,Italy,Automobiles,720%,101.6%,43.5,43,2013,,,,,,,,,,,,,,2019
189,Tammi Talot,Finland,Construction,717%,101.4%,3.7,30,2011,,,,,,,,,,,,,,2019
190,Prestige Group,Italy,Telecoms,717%,101.4%,49.0,14,2014,,,,,,,,,,,,,,2019
191,Oxford Summer Courses,United Kingdom,Education,709%,100.7%,5.3,12,2010,,,,,,,,,,,,,,2019
192,Innovi Recherche,France,Pharmaceuticals,703%,100.3%,1.7,n/a,2011,,,,,,,,,,,,,,2019
193,WED2B,United Kingdom,Retail,703%,100.2%,17.7,348,2009,,,,,,,,,,,,,,2019
194,tristar,Germany,Travel & Leisure,701%,100.1%,17.8,165,2011,,,,,,,,,,,,,,2019
195,OTC Engineering,Spain,Technology,694%,99.5%,2.0,11,2013,,,,,,,,,,,,,,2019
196,La Saponaria,Italy,Beauty,693%,99.4%,2.4,16,2009,,,,,,,,,,,,,,2019
197,Basedo Steel,Germany,Industrial Goods,689%,99.1%,3.5,12,2014,,,,,,,,,,,,,,2019
198,Muroexe Industries,Spain,Fashion,688%,99.0%,2.4,19,2012,,,,,,,,,,,,,,2019
199,Agripower France,France,Energy,682%,98.5%,5.5,n/a,2012,,,,,,,,,,,,,,2019
200,Paweł Ochyński CSG,Poland,Batteries,680%,98.3%,9.6,71,2008,,,,,,,,,,,,,,2019
201,Ve.Ma.,Italy,Advertising,679%,98.3%,2.2,76,2014,,,,,,,,,,,,,,2019
202,Travisanutto Giovanni,Italy,Architecture,679%,98.2%,3.1,3,1993,,,,,,,,,,,,,,2019
203,Workstories,United Kingdom,Interiors,670%,97.4%,9.0,22,2013,,,,,,,,,,,,,,2019
204,SGS Facility Management,Germany,Support Services,668%,97.3%,1.8,110,2014,,,,,,,,,,,,,,2019
205,easysparen,Germany,Retail,668%,97.3%,42.9,17,2009,,,,,,,,,,,,,,2019
206,Grupo Bar Galleta,Spain,Restaurants,665%,97.0%,2.8,73,2014,,,,,,,,,,,,,,2019
207,Sunnysmoker,France,Retail,664%,96.9%,14.7,26,2011,,,,,,,,,,,,,,2019
208,hajoona,Germany,Health,663%,96.9%,6.4,17,2013,,,,,,,,,,,,,,2019
209,Proceram,Germany,Construction,657%,96.3%,4.5,15,2011,,,,,,,,,,,,,,2019
210,GS Star,Germany,Travel & Leisure,654%,96.1%,21.6,104,2011,,,,,,,,,,,,,,2019
211,Sport-Treff Amthor,Germany,Retail,654%,96.1%,3.6,21,1980,,,,,,,,,,,,,,2019
212,Duo Capital,Portugal,Financial Services,651%,95.8%,2.3,38,2012,,,,,,,,,,,,,,2019
213,NUEVO Conseil et Formation,France,Support Services,648%,95.6%,4.0,30,2012,,,,,,,,,,,,,,2019
214,VH24,Germany,Support Services,647%,95.5%,3.7,27,2011,,,,,,,,,,,,,,2019
215,Marco Polo Foodex,Italy,Food & Beverage,641%,95.0%,6.9,2,2014,,,,,,,,,,,,,,2019
216,Silkhom,France,Support Services,640%,94.8%,1.6,15,2013,,,,,,,,,,,,,,2019
217,Streamads,Netherlands,Advertising,637%,94.6%,1.8,5,2013,,,,,,,,,,,,,,2019
218,Carpenteria Vally,Italy,Industrial Goods,633%,94.2%,2.0,9,2013,,,,,,,,,,,,,,2019
219,Balteks Kem,Estonia,Chemicals,631%,94.1%,12.6,1,2011,,,,,,,,,,,,,,2019
220,LVS Brokers,Finland,Fintech,631%,94.0%,2.4,3,2012,,,,,,,,,,,,,,2019
221,Geo Pluriservice,Italy,Support Services,626%,93.6%,2.2,8,2012,,,,,,,,,,,,,,2019
222,Bidtheatre,Sweden,Technology,626%,93.6%,8.4,7,2012,,,,,,,,,,,,,,2019
223,Marfreight,Italy,Transport,626%,93.6%,2.1,2,2014,,,,,,,,,,,,,,2019
224,Finanzchef24,Germany,Financial Services,623%,93.3%,3.2,18,2012,,,,,,,,,,,,,,2019
225,Panizzo,Italy,Industrial Goods,615%,92.6%,2.8,39,2014,,,,,,,,,,,,,,2019
226,Wanecque,France,Construction,614%,92.6%,3.6,36,2012,,,,,,,,,,,,,,2019
227,Groupe Quintésens,France,Financial Services,614%,92.5%,21.2,20,2009,,,,,,,,,,,,,,2019
228,Heck! Food,United Kingdom,Food & Beverage,613%,92.5%,20.7,97,2012,,,,,,,,,,,,,,2019
229,Powerspace,France,Technology,610%,92.2%,3.2,8,2008,,,,,,,,,,,,,,2019
230,Aklamio,Germany,Technology,604%,91.7%,6.0,55,2011,,,,,,,,,,,,,,2019
231,Akademie für Sport und Gesundheit,Germany,Health,601%,91.4%,3.8,16,2010,,,,,,,,,,,,,,2019
232,Regional Express,France,Transport,601%,91.4%,8.6,90,2013,,,,,,,,,,,,,,2019
233,Reclamador,Spain,Support Services,601%,91.3%,3.3,100,2012,,,,,,,,,,,,,,2019
234,Car Max,Italy,Automobiles,598%,91.1%,1.9,3,2012,,,,,,,,,,,,,,2019
235,Imprecom,Italy,Construction,598%,91.1%,4.9,24,2014,,,,,,,,,,,,,,2019
236,ATLANTIQ,France,Financial Services,597%,91.1%,284.4,11,2010,,,,,,,,,,,,,,2019
237,Brodynt Global Services,Spain,Telecoms,597%,91.0%,2.8,20,2012,,,,,,,,,,,,,,2019
238,China Power,Italy,Energy,594%,90.7%,12.5,12,2013,,,,,,,,,,,,,,2019
239,Milano Fresh,Italy,Agricultural Commodities,589%,90.3%,3.4,7,2013,,,,,,,,,,,,,,2019
240,Autodoc,Germany,Automobiles,586%,90.1%,254.0,1000,2008,,,,,,,,,,,,,,2019
241,4Most Group Holdings,United Kingdom,Insurance,586%,90.1%,22.2,120,2011,,,,,,,,,,,,,,2019
242,Elastica,Italy,Travel & Leisure,584%,89.8%,2.9,6,2014,,,,,,,,,,,,,,2019
243,Genius Progetti,Italy,Support Services,583%,89.8%,8.0,5,1994,,,,,,,,,,,,,,2019
244,Freedom In Sales,Italy,Transport,581%,89.5%,4.2,5,2012,,,,,,,,,,,,,,2019
245,Appronto,Netherlands,Technology,580%,89.5%,3.8,16,2013,,,,,,,,,,,,,,2019
246,Deeper,Lithuania,Technology,580%,89.4%,9.3,65,2012,,,,,,,,,,,,,,2019
247,Beekeeper,Switzerland,Technology,578%,89.3%,2.8,90,2012,,,,,,,,,,,,,,2019
248,Häner Baumaschinen,Germany,Industrial Goods,576%,89.1%,1.6,1,2013,,,,,,,,,,,,,,2019
249,NWG Energia,Italy,Energy,575%,89.0%,49.6,37,2014,,,,,,,,,,,,,,2019
250,Compagnie de L’arc Atlantique,France,Financial Services,571%,88.6%,6.8,13,2010,,,,,,,,,,,,,,2019
251,Inrigo,Norway,Technology,569%,88.5%,19.3,49,2008,,,,,,,,,,,,,,2019
252,Caffeina,Italy,Advertising,569%,88.4%,4.7,63,2010,,,,,,,,,,,,,,2019
